Transaction Date,Description,Amount,Currency,Category,Subcategory,Tag,Merchant
2/5/25,PET VALU CANADA INC. VANCOUVER BC,13.42,CAD,Peach,,,
2/6/25,PTZ INSURANCE SERVICES LTOAKVILLE ON,86.88,CAD,Peach,Insurance,,
2/6/25,SAFEWAY #4979 VANCOUVER BC,21.65,CAD,Groceries,,,
2/6/25,BCAA-MEMBERSHIP BURNABY BC,10.94,CAD,Car,Insurance,,
2/7/25,Student Loan Payment,60,CAD,Student Loan,,,
2/7/25,KITSILANO MINI STORAGE-2 VANCOUVER BC,56.7,CAD,Home,Storage,,
2/7/25,WORLD DUTY FREE / CONN RICHMOND BC,47.5,CAD,Personal Care,,,
2/7/25,UBER CANADA/UBERTRIP TORONTO ON,30.96,CAD,Travel,,NZ25,
2/8/25,SQ *GREEN GOAT GAMING 1800595310,57.02,CAD,Entertainment,Home Media,,
2/8/25,a.saily Lewes DE,51.6,CAD,Travel,,NZ25,
2/8/25,SKINNY MOBILE (1) AUCKLAND,16.75,CAD,Travel,,NZ25,
2/9/25,CATHEDRAL COVE KAYAK TOURWHITIAN,288.25,CAD,Travel,,NZ25,
2/9/25,STOKEDBARGRILL WHITIANGA,54.38,CAD,Travel,,NZ25,
2/9/25,COMPLETE PHYSIO NORTH VANCOUVBC,21,CAD,Paramedical,Physio,,
2/11/25,Youtube Premium,19.6,CAD,Entertainment,,,
2/11/25,Beam Mobility NZ INTERNET,4.71,CAD,Travel,,NZ25,
2/11/25,Beam Mobility NZ INTERNET,4.49,CAD,Travel,,NZ25,
2/11/25,Beam Mobility NZ INTERNET,2.33,CAD,Travel,,NZ25,
2/12/25,Beam Mobility NZ INTERNET,6.45,CAD,Travel,,NZ25,
2/13/25,TELUS PRE-AUTH PAYMENT EDMONTON AB,165.43,CAD,Home,Internet,,
2/13/25,Reef Beachfront Apartme Mount Ma,114.91,CAD,Travel,,NZ25,
2/13/25,Hilton Hotels Taupo Wellington,33.37,CAD,Travel,,NZ25,
2/13/25,NZ TRANSPORT AGENCY-TOLL PALM NT,1.91,CAD,Travel,,NZ25,
2/14/25,CHAN CENTRE FOR THE PERFOVANCOUVER BC,80,CAD,Entertainment,Symphony,,
2/14/25,Student Loan Payment,60,CAD,Student Loan,,,
2/14/25,MONTHLY FEE,30,CAD,Fees,,,
2/15/25,WWW.PAULYSDINE* O.8737 TAUPO,46.68,CAD,Travel,,NZ25,
2/15/25,Rip Curl Taupo Taupo,20.88,CAD,Clothes,,NZ25,
2/15/25,SKINNY MOBILE (3) AUCKLAND,16.71,CAD,Travel,,NZ25,
2/16/25,EXPLORE LIMITED AUCKLAND,82.73,CAD,Travel,,NZ25,
2/16/25,SONNET INSURANCE COMPANY WATERLOO ON,32.52,CAD,Home,Insurance,,
2/16/25,NZ TRANSPORT AGENCY-TOLL PALM NT,4.34,CAD,Travel,,NZ25,
2/18/25,ROGERS ARENA VANCOUVER BC,227.5,CAD,Entertainment,Sports Tickets,,
2/19/25,BC Hydro,87.22,CAD,Home,Hydro,,
2/19/25,Spotify P342DB1750 Stockholm,14.21,CAD,Entertainment,Subscriptions,,
2/21/25,BUDGET RENT A CAR LIMI AUCKLAND,1013.98,CAD,Travel,,NZ25,
2/21/25,Student Loan Payment,60,CAD,Student Loan,,,
2/21/25,SIMPLY SUSHI BAR VANCOUVER BC,56.34,CAD,Take Out,Sushi,,
2/21/25,The Grand By Skycity Auckland,29.83,CAD,Travel,,NZ25,
2/21/25,CITY OF VAN PAYBYPHONE VANCOUVER BC,1,CAD,Car,Parking,,
2/23/25,SAFEWAY #4979 VANCOUVER BC,213.56,CAD,Groceries,,,
2/23/25,SAVE ON FOODS ONLINE LANGLEY BC,154.92,CAD,Groceries,,,Save On
2/23/25,CHV43017 QUILCHENA ON VANCOUVER BC,66.97,CAD,Car,Fuel,,
2/23/25,APPLE.COM/BILL TORONTO ON,19.6,CAD,Entertainment,Audiobooks,,
2/23/25,APPLE.COM/BILL TORONTO ON,19.03,CAD,Entertainment,Subscriptions,,
2/24/25,KORNA VANCOUVER BC,56.25,CAD,Peach,,,
2/24/25,Arbutus Coffee,23.52,CAD,Take Out,Coffee,,
2/24/25,Knife Sharpening Guide,17.07,CAD,Household,Kitchen,,Amazon
2/24/25,Phone Stand,11.14,CAD,Household,Office,,Amazon
2/26/25,APPLE.COM/BILL 866-712-7753 ON,1.44,CAD,Cell Phone,Storage,,
2/27/25,SP GENTLE FAWN VANCOUVER BC,110.35,CAD,Clothes,,,
2/28/25,Student Loan Payment,60,CAD,Student Loan,,,
2/28/25,SIMPLY SUSHI BAR VANCOUVER BC,50.3,CAD,Take Out,Sushi,,
2/28/25,KILOS STRENGTH + REHAB NORTH VANCOUVBC,44.25,CAD,Paramedical,Massage,,
2/17/25,CASH ADVANCE INTEREST 22.99%,3.66,USD,Travel,,NZ25,
2/17/25,CASH ADVANCE FEE,3.5,USD,Travel,,NZ25,
2/16/25,Wise London,1051.3,USD,Travel,,NZ25,
2/13/25,"GITHUB, INC. GITHUB.COM CA",8,USD,Business,,,
2/12/25,CASH ADVANCE FEE,3.5,USD,Travel,,NZ25,
2/11/25,Wise London,525.65,USD,Travel,,NZ25,
2/11/25,CASH ADVANCE FEE,3.5,USD,Travel,,NZ25,
2/10/25,Wise London,525.65,USD,Travel,,NZ25,
2/10/25,CASH ADVANCE FEE,3.5,USD,Travel,,NZ25,
2/9/25,Wise London,525.65,USD,Travel,,NZ25,
2/5/25,NEWSGROUPDIRECT.COM 888-2148353 SC,9,USD,Entertainment,Home Media,,
1/22/25,FEELGROUNDS.COM LARNACA,166.01,USD,Clothes,Shoes,,
1/8/25,NewsGroupDirect,9,USD,Entertainment,Home Media,,02/10/25,PAYMENT - THANK YOU / PAIEMENT - MERCI,3000,CAD,IGNORED,,,
02/10/25,PAYMENT - THANK YOU / PAIEMENT - MERCI,3000,CAD,IGNORED,,,
02/11/25,APPLE.COM/BILL 866-712-7753 ON,19,CAD,Entertainment,Subscriptions,,
02/16/25,EXPLORE LIMITED AUCKLAND,279,CAD,IGNORED,,,
02/16/25,EXPLORE LIMITED AUCKLAND,58,CAD,IGNORED,,,
02/16/25,EXPLORE LIMITED AUCKLAND,58,CAD,IGNORED,,,
02/17/25,EXPLORE LIMITED AUCKLAND,54,CAD,IGNORED,,,
02/18/25,ROGERS ARENA VANCOUVER BC,933,CAD,SPLIT,,,
02/23/25,APPLE.COM/BILL TORONTO ON,38,CAD,IGNORED,,,
02/24/25,AMZN Mktp CA*QH2RV7FC3 WWW.AMAZON.CAON,11,CAD,IGNORED,,,
02/24/25,AMZN Mktp CA*D714O30N3 WWW.AMAZON.CAON,17,CAD,IGNORED,,,
02/28/25,MARKETPLACE IGA 024 VANCOUVER BC,16,CAD,IGNORED,,,
03/01/25,MONTHLY PARKING-INDIGO PAVANCOUVER BC,80,CAD,Home,Parking,,
03/01/25,AMZN Mktp CA*M34RQ7W43 WWW.AMAZON.CAON,40.31,CAD,SPLIT,,,
03/01/25,Vitamin C,8.31,CAD,Healthcare,Supplements,,
03/01/25,Chemex Filters,32.0,CAD,Household,,,
03/01/25,MERLIN CYCLES CHORLEY,571,CAD,Fitness,Bike,,
03/01/25,KOODO MOBILE PAC 111-1111111 AB,60,CAD,Cell Phone,Plan,,
03/01/25,TEAM CANNABIS VANCOUVER BC,44,CAD,Substances,Cannabis,,
03/01/25,SIMPLY SUSHI BAR VANCOUVER BC,50,CAD,Take Out,Sushi,,
03/01/25,PERSIA FOODS VANCOUVER BC,8,CAD,Groceries,,,
03/01/25,SAFEWAY #4901 VANCOUVER BC,8,CAD,Groceries,,,
03/01/25,HOMURA YAKINIKU VANCOUVER BC,140,CAD,Eating Out,,,
03/02/25,AMZN Mktp CA*KG8KO2ZG3 WWW.AMAZON.CAON,11,CAD,Misc,,,
03/02/25,PLATFORM 7 VANCOUVER BC,14,CAD,Take Out,Coffee,,
03/03/25,Amazon.ca*J47UL1VL3 AMAZON.CA ON,8,CAD,Groceries,,,
03/03/25,AMZN Mktp CA*AY4YL50P3 WWW.AMAZON.CAON,32,CAD,Fitness,Equipment,,
03/03/25,Amazon.ca*KK6RU5ZY3 AMAZON.CA ON,6,CAD,Household,,,
03/03/25,Amazon.ca*W68ZU8EW3 AMAZON.CA ON,10,CAD,Peach,Treats,,
03/03/25,Amazon.ca*R272R1XO3 AMAZON.CA ON,6,CAD,Household,,,
03/04/25,AMZN Mktp CA*JX64M4NX3 WWW.AMAZON.CAON,40,CAD,Fitness,Equipment,,
03/04/25,UPS*5653833943 888-520-9090 NB,83,CAD,Fees,Shipping,,
03/04/25,GOOGLE*GOOGLE ONE G.CO/HELPPAY#NS,3,CAD,Entertainment,Home Media,,
03/05/25,LONDON DRUGS 74 VANCOUVER BC,173,CAD,Medical,RX,,
03/05/25,PAYMENT - THANK YOU / PAIEMENT - MERCI,2500,CAD,IGNORED,,,
03/05/25,CLASSPASS* MONTHLY CLASSPASS.COMMT,82,CAD,Fitness,Subscriptions,,
03/05/25,SAFEWAY #4966 VANCOUVER BC,3,CAD,Groceries,,,
03/06/25,BCAA-MEMBERSHIP BURNABY BC,10,CAD,Car,Insurance,,
03/06/25,PTZ INSURANCE SERVICES LTOAKVILLE ON,86,CAD,Peach,Insurance,,
03/06/25,AMZN Mktp CA*WT22A1GO3 WWW.AMAZON.CAON,19,CAD,Fitness,Bike,,
03/06/25,SQ *CANUCKS TEAM STORE Vancouver BC,26,CAD,Clothes,,,
03/06/25,SQ *SYSTEMS VIEW PSYCHOTH8774174551 BC,140,CAD,Paramedical,Counselling,,
03/06/25,YELLOW CAB COMPANY VANCOUVER BC,18,CAD,Secondary Transportation,Cab,,
03/07/25,PAYMENT - THANK YOU / PAIEMENT - MERCI,498,CAD,IGNORED,,,
03/07/25,KITSILANO MINI STORAGE-2 VANCOUVER BC,59,CAD,Home,Storage,,
03/07/25,BC LIQUOR #117 VANCOUVER BC,23,CAD,Substances,Alcohol,,
03/07/25,HANOI HOUSE VANCOUVER BC,14,CAD,Take Out,,,
03/08/25,VANCOUVER PB RECREATIO VANCOUVER BC,352,CAD,Hobbies,Pottery,,
03/08/25,SAVE ON FOODS ONLINE LANGLEY BC,189,CAD,Groceries,,,
03/08/25,EvoCarShare Burnaby BC,6,CAD,Secondary Transportation,Evo,,
03/08/25,UBER CANADA/UBERTRIP TORONTO ON,9,CAD,Secondary Transportation,Uber,,
03/08/25,MPBSDP SO BIRTH/OTHER CERTHUNDER BAY ON,65,CAD,Fees,,,
03/09/25,Amazon.ca*A38HL6HE3 AMAZON.CA ON,11,CAD,Household,,,
03/09/25,AMZN Mktp CA*0E1EB5NV3 WWW.AMAZON.CAON,21,CAD,Household,,,
03/09/25,COMPLETE PHYSIO NORTH VANCOUVBC,21,CAD,Paramedical,Physio,,
03/09/25,COMPLETE PHYSIO NORTH VANCOUVBC,21,CAD,Paramedical,Physio,,
03/11/25,UBER CANADA/UBEREATS TORONTO ON,50,CAD,Take Out,Sushi,,
03/12/25,SQ *CANUCKS TEAM STORE Vancouver BC,40,CAD,Clothes,,,
03/12/25,SQ *CANUCKS TEAM STORE Vancouver BC,71,CAD,Clothes,,,
03/12/25,UBER* TRIP TORONTO ON,14,CAD,Secondary Transportation,Uber,,
03/12/25,COMPASS AUTOLOAD 604-398-2042 BC,20,CAD,Secondary Transportation,Transit,,
03/11/25,NBX*CANUCKS FOR KIDS FUNDVANCOUVER BC,25,CAD,Entertainment,Gambling,,
03/11/25,CANUCKS SPORTS QUICK S VANCOUVER BC,6,CAD,Take Out,,,
03/11/25,CANUCKS SPORTS QUICK S VANCOUVER BC,11,CAD,Take Out,,,
03/12/25,UBER CANADA/UBEREATS TORONTO ON,29,CAD,Take Out,,,
03/12/25,COMPASS ACCOUNT BURNAB BURNABY BC,3,CAD,Secondary Transportation,Transit,,
03/13/25,AMZN Mktp CA*JT5433L13 WWW.AMAZON.CAON,19,CAD,Groceries,,,
03/13/25,Amazon.ca*IQ3H396V3 AMAZON.CA ON,125,CAD,Healthcare,Equipment,,
03/14/25,PAYMENT - THANK YOU / PAIEMENT - MERCI,2922,CAD,IGNORED,,,
03/23/25,Market Eggs,14.0,CAD,Groceries,,,
03/23/25,Market Peirogies,33.0,CAD,Groceries,,,
03/23/25,Market Steaks,70.0,CAD,Groceries,,,
03/23/25,Market Eggs,14.0,CAD,Groceries,,,
